uid,gid,player,del,first,last,name,position1,pat,fgs,fgm,fgl,fp,game,seas,year,team
1341,677,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,0,0,8,10,7,2002,NE
1355,684,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,0,0,2,11,1,2002,NYG
1359,686,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,11,7,2002,NE
1378,696,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,0,0,8,12,7,2002,NE
1395,705,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,3,0,0,11,12,1,2002,NYG
1419,717,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,1,0,10,13,7,2002,NE
1434,724,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,1,0,10,13,1,2002,NYG
1459,737,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,4,3,0,0,13,14,1,2002,NYG
1470,742,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,0,0,0,1,14,7,2002,NE
1487,751,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,5,1,0,0,8,15,1,2002,NYG
1500,757,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,0,1,0,6,15,7,2002,NE
1504,759,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,1,0,0,4,16,1,2002,NYG
1519,767,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,2,2,0,15,16,7,2002,NE
1540,778,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,5,1,0,0,8,17,1,2002,NYG
1576,796,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,1,2,0,13,1,2,2003,NYG
1608,812,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,1,0,0,7,1,8,2003,NE
1618,817,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,0,0,6,2,2,2003,NYG
1633,824,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,1,0,12,2,8,2003,NE
1643,829,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,0,0,6,3,2,2003,NYG
1671,843,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,3,8,2003,NE
1693,854,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,0,1,0,9,4,8,2003,NE
1696,855,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,1,0,5,4,2,2003,NYG
1720,867,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,5,8,2003,NE
1748,881,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,2,0,0,7,6,8,2003,NE
1775,895,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,3,0,0,9,7,8,2003,NE
1816,915,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,2,0,14,8,8,2003,NE
1866,940,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,1,0,0,4,5,2,2003,NYG
1874,944,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,2,0,0,6,9,8,2003,NE
1894,954,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,3,0,0,11,10,8,2003,NE
1908,961,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,2,0,0,7,6,2,2003,NYG
1921,968,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,0,1,0,9,11,8,2003,NE
1924,969,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,0,0,1,7,2,2003,NYG
1954,985,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,0,0,4,12,8,2003,NE
1958,987,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,0,0,1,8,2,2003,NYG
1983,1000,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,2,0,0,9,13,8,2003,NE
1999,1008,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,0,0,1,9,2,2003,NYG
2004,1011,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,0,0,3,14,8,2003,NE
2017,1017,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,0,0,1,0,4,10,2,2003,NYG
2034,1026,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,1,0,0,7,15,8,2003,NE
2059,1038,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,0,0,6,11,2,2003,NYG
2075,1046,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,0,1,0,6,16,8,2003,NE
2083,1050,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,5,0,0,16,17,8,2003,NE
2087,1052,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,1,0,7,18,8,2003,NE
2089,1053,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,1,0,10,1,9,2004,NE
2121,1069,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,3,0,0,11,2,9,2004,NE
2183,1100,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,1,0,8,3,9,2004,NE
2216,1117,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,5,0,0,0,5,1,3,2004,IND
2218,1118,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,1,0,7,4,9,2004,NE
2239,1128,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,1,1,0,8,2,3,2004,MIA
2250,1134,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,2,1,0,13,5,9,2004,NE
2277,1148,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,4,0,1,0,8,3,3,2004,MIA
