team,week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CAR,5,3,8,3,8,3,9,14,6,9,8,11,4,16,7,14,4,2,8,3,14
CAR,6,5,5,10,3,3,16,9,12,0,4,4,1,2,16,5,7,3,5,5,19
CAR,7,13,16,1,8,5,4,2,2,5,20,2,9,12,5,2,10,18,6,8,7
CAR,8,7,3,10,2,4,19,6,11,6,5,3,6,4,15,7,9,6,11,7,10
CAR,9,9,8,2,11,14,21,11,10,11,4,3,3,5,10,8,5,5,4,1,2
CAR,10,4,9,6,7,12,2,13,3,11,0,7,8,13,6,1,15,9,2,1,3
CAR,11,5,4,6,3,16,7,3,2,3,9,14,6,5,5,4,20,6,11,2,4
CAR,12,11,7,13,7,7,8,1,22,6,12,7,4,1,8,3,4,5,4,6,7
CAR,13,20,4,12,7,15,1,0,2,7,6,5,5,4,2,6,13,17,12,5,1
CAR,14,8,9,6,15,18,13,3,5,7,8,7,8,9,14,9,4,7,11,4,4
CAR,15,11,0,14,3,16,11,7,2,3,12,7,11,3,10,5,4,6,12,5,3
CAR,16,0,9,10,16,3,19,15,6,12,6,3,2,4,17,24,6,9,1,4,1
CHI,1,3,4,7,2,6,9,9,9,12,6,8,16,13,7,3,0,4,4,14,5
CHI,2,2,7,8,5,12,21,12,10,7,6,6,3,9,13,12,2,2,4,16,4
CHI,3,8,22,7,2,8,5,5,9,8,7,6,6,16,25,15,4,2,9,12,20
CHI,4,7,11,12,7,5,7,13,14,7,9,8,10,23,7,3,6,6,2,10,10
CHI,5,8,4,6,0,9,10,13,9,14,6,11,3,21,1,8,5,5,6,6,4
CHI,6,10,15,4,8,5,4,17,1,2,0,0,7,11,13,6,6,6,15,5,1
CHI,7,5,11,4,10,13,10,12,3,20,19,14,9,12,3,6,3,12,23,1,3
CHI,8,5,5,5,2,17,11,8,6,9,3,9,3,26,7,1,4,5,6,24,4
CHI,9,12,10,6,1,25,4,8,9,3,4,9,26,5,2,2,5,6,3,12,4
CHI,10,3,5,8,16,4,12,6,4,2,9,8,6,4,13,4,5,0,5,14,4
CHI,11,16,7,6,2,12,8,10,8,13,3,6,6,10,2,13,6,0,5,12,3
CHI,12,2,4,7,7,13,18,23,9,4,7,2,4,4,7,4,6,8,4,5,4
CHI,13,1,9,7,14,4,0,5,3,5,7,3,11,3,2,1,5,13,7,13,2
CHI,14,2,10,3,4,2,6,6,10,11,4,14,9,7,10,4,1,4,6,7,1
CHI,15,7,22,7,1,10,16,5,21,4,8,4,1,22,4,12,7,0,7,3,1
CHI,16,15,12,5,3,0,0,6,9,2,6,6,16,7,7,5,4,2,8,4,8
CIN,1,3,4,1,7,2,6,13,20,10,3,0,4,3,2,7,6,5,3,12,6
CIN,2,6,20,1,0,12,16,6,2,1,8,9,6,10,6,8,10,5,3,12,2
CIN,3,2,2,1,5,5,14,13,8,0,9,9,7,6,18,6,2,6,14,1,5
CIN,4,6,6,14,4,5,9,2,2,3,12,3,1,8,5,1,7,9,4,3,2
CIN,5,12,4,2,4,15,2,4,7,5,6,9,13,6,8,2,6,3,8,21,1
CIN,6,1,2,6,9,9,12,5,12,14,8,10,15,4,7,6,4,3,0,0,9
CIN,7,8,10,3,14,10,5,2,3,0,9,4,14,7,4,5,9,6,14,4,2
CIN,8,4,3,16,4,11,11,0,2,1,8,5,4,4,20,6,3,3,2,20,0
CIN,9,1,5,4,4,11,5,5,13,5,6,2,7,12,5,2,5,5,6,0,3
CIN,10,2,9,2,1,9,3,18,5,10,6,11,3,6,11,2,6,4,9,4,7
CIN,11,3,8,1,2,13,7,14,5,2,1,4,4,8,26,5,13,4,4,0,5
CIN,12,8,12,3,10,5,10,2,8,2,13,4,3,8,8,3,9,7,3,4,4
CIN,13,5,0,12,8,1,4,8,4,2,4,4,13,5,0,0,4,5,2,2,5
CIN,14,4,7,3,13,4,7,1,2,4,6,4,3,19,3,7,14,1,4,9,2
CIN,15,3,20,5,3,4,5,7,9,17,5,5,11,16,18,16,5,6,6,2,4
CIN,16,10,7,7,0,19,4,5,9,3,0,8,1,12,14,6,5,7,9,9,12
CLE,1,4,8,2,5,9,8,4,3,2,4,9,4,18,6,5,2,2,3,16,4
CLE,2,15,17,11,9,9,5,8,7,2,2,5,6,8,4,10,13,4,6,7,6
CLE,3,5,12,1,4,2,2,2,6,5,3,0,9,2,12,2,2,13,5,8,8
CLE,4,1,1,10,0,4,10,6,4,13,10,10,2,6,6,5,2,5,5,7,10
CLE,5,3,0,2,15,8,5,1,0,13,8,6,4,8,12,4,1,1,5,10.5,4
CLE,6,5,13,4,1,5,2,6,6,3,11,2,7,16,3,8,12,4,9,3,5
CLE,7,0,19,12,3,4,4,7,3,5,0,25,1,3,1,11,4,3,4,14,7
CLE,8,3,4,11,1,3,3,5,4,2,6,7,2,3,6,8,9,2,5,5,5
CLE,9,5,18,4,8,4,8,7,6,3,4,4,5,1,9,10,4,0,6,4,1
CLE,10,5,17,1,9,10,6,14,20,8,6,24,1,9,10,2,5,6,4,6,12
CLE,11,12,0,13,2,6,6,5,8,7,3,5,4,17,0,7,10,0,1,7,8
CLE,12,23,13,6,5,8,3,6,2,6,1,9,3,3,4,7,1,3,1,4,3
CLE,13,4,20,3,5,7,2,4,10,6,8,4,8,7,8,23,9,4,1,3,10
CLE,14,2,4,5,5,3,7,7,0,14,3,0,6,4,20,4,2,1,1,6,2
CLE,15,9,5,4,5,4,6,15,6,2,10,3,3,2,0,3,3,4,9,3,2
CLE,16,6,8,8,5,8,10,3,5,2,5,2,6,2,5,1,6,6,7,4,3
DAL,1,7,6,8,4,2,6,3,3,1,4,1,8,5,27,1,1,4,5,5,5
DAL,2,4,0,11,14,7,9,8,12,6,0,1,8,2,6,6,15,4,6,8,1
DAL,3,7,3,7,4,5,8,14,17,7,15,10,9,6,8,12,1,4,6,2,5
