team,week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MIA,13,12,0,10,5,6,7,11,2,8,3,9,10,4,7,3,2,12,6,2,3
MIA,14,6,3,7,3,10,12,7,8,5,8,4,9,2,3,2,5,19,2,10,7
MIA,15,5,20,10,20,10,10,3,11,11,3,4,4,10,3,8,2,2,1,7,6
MIA,16,9,14,5,4,2,3,2,2,16,7,2,8,1,0,3,2,0,4,9,11
MIN,1,4,4,5,11,5,12,0,22,2,8,1,6,4,4,15,5,20,1,17,12
MIN,2,5,4,3,5,4,2,4,22,6,8,6,4,2,15,1,7,11,2,4,6
MIN,3,5,3,7,8,4,9,11,3,15,3,7,5,11,11,3,14,24,8,3,8
MIN,4,4,2,2,10,4,1,3,5,2,14,2,3,13,9,5,6,4,5,1,1
MIN,5,4,6,3,8,5,9,25,9,17,15,6,12,6,1,4,4,12,5,13,8
MIN,6,2,9,4,19,10,0,16,13,10,3,4,3,3,8,4,7,8,10,8,8
MIN,7,3,1,14,5,5,3,7,2,6,6,0,4,17,2,14,7,1,5,11,4
MIN,8,1,3,0,3,1,10,5,5,11,6,6,7,1,5,15,1,3,7,2,8
MIN,9,2,8,5,2,2,18,0,0,6,5,6,2,3,4,7,6,3,3,18,7
MIN,10,7,3,6,7,5,12,4,8,3,6,3,8,6,1,4,2,14,4,7,3
MIN,11,11,4,2,20,12,15,11,29,14,10,6,2,7,2,1,8,2,7,6,6
MIN,12,4,8,8,3,7,3,9,6,9,2,11,8,4,6,16,4,9,0,2,12
MIN,13,9,14,4,15,7,15,17,18,4,5,5,5,14,8,13,2,6,4,4,9
MIN,14,0,1,4,1,8,6,6,3,8,4,3,4,14,6,0,9,0,13,9,23
MIN,15,2,2,5,8,9,6,15,4,2,4,18,7,8,4,5,16,4,5,3,9
MIN,16,2,2,12,10,7,5,0,1,2,9,11,13,7,5,2,15,18,1,0,6
NE,1,3,2,15,6,7,4,5,11,6,4,11,6,12,4,7,5,3,5,7,3
NE,2,4,2,21,24,9,9,6,15,4,4,3,10,6,12,22,14,8,1,4,27
NE,3,8,23,9,8,16,6,0,6,0,2,5,4,2,5,2,4,8,6,3,7
NE,4,7,2,2,4,7,0,8,5,7,8,26,4,15,4,2,7,2,6,6,15
NE,5,8,3,5,10,7,3,9,17,2,6,3,4,8,8,13,5,4,2,7,9
NE,6,8,11,1,18,2,1,10,4,13,10,10,6,6,7,11,4,4,8,4,23
NE,7,5,8,6,9,0,6,12,12,6,15,3,7,14,12,5,9,2,3,14,11
NE,8,2,11,6,6,9,2,7,17,0,2,2,4,6,14,13,5,4,2,13,17
NE,9,3,9,4,2,13,4,3,7,6,5,13,17,9,11,5,5,7,4,3,5
NE,10,1,13,11,7,6,3,7,14,5,18,6,9,21,3,3,4,5,5,2,7
NE,11,7,7,11,5,14,4,11,13,5,1,6,4,16,11,4,5,7,15,4,4
NE,12,4,7,12,6,17,4,15,2,3,3,7,6,5,3,3,5,10,6,6,3
NE,13,6,13,12,19,12,14,1,5,3,2,16,12,4,1,8,8,8,2,7,7
NE,14,3,3,4,5,6,9,18,17,12,8,17,10,5,6,16,17,10,4,6,16
NE,15,14,6,0,20,9,10,3,7,6,6,17,9,7,18,6,9,10,6,6,4
NE,16,2,25,2,12,5,2,11,3,4,9,9,16,11,4,4,1,4,6,16,2
NO,1,12,13,13,3,4,9,11,8,4,7,5,2,4,7,3,2,0,1,0,8
NO,2,9,7,17,15,8,2,6,0,4,15,6,8,3,5,1,9,8,2,5,5
NO,3,6,18,5,3,7,6,15,2,6,8,4,4,9,8,2,1,2,10,5,8
NO,4,7,7,0,1,12,8,1,3,12,24,3,5,4,12,1,3,9,6,7,7
NO,5,11,6,8,2,6,0,4,9,1,6,6,5,9,5,5,4,6,35,7,6
NO,6,10,16,17,7,6,3,5,3,6,20,3,0,2,7,7,19,0,3,1,4
NO,7,6,6,4,3,10,3,3,4,1,15,1,13,2,10,10,10,3,4,14,8
NO,8,17,1,7,3,1,6,6,16,4,14,7,12,17,2,8,4,9,14,2,3
NO,9,4,2,14,22,10,8,2,4,0,4,14,1,3,3,6,2,10,4,8,3
NO,10,24,4,5,7,0,5,5,5,6,11,4,3,13,5,3,3,2,2,9,16
NO,11,7,10,5,3,6,1,3,9,8,8,9,5,6,7,3,3,9,6,14,6
NO,12,12,13,8,6,4,3,10,13,6,6,3,7,3,1,5,15,2,4,11,15
NO,13,1,6,13,5,11,2,6,11,2,3,15,2,10,5,0,1,4,7,8,5
NO,14,8,0,3,15,9,5,1,6,7,3,3,6,12,0,13,5,5,5,8,1
NO,15,17,4,12,7,11,3,6,5,8,7,5,8,4,6,0,6,6,9,7,7
NO,16,11,6,11,9,14,1,0,6,1,2,7,6,9,4,7,7,1,8,1,14
NYG,1,11,0,4,20,2,7,3,5,1,13,12,6,4,4,1,12,0,1,3,0
NYG,2,5,3,15,11,24,14,3,3,14,14,3,12,6,2,4,2,10,5,0,3
NYG,3,6,6,4,5,10,2,12,4,6,2,1,8,12,3,10,7,2,5,7,8
NYG,4,1,20,3,4,6,11,3,20,4,7,16,8,2,7,14,6,0,1,1,17
NYG,5,4,14,3,2,6,13,11,13,0,12,9,12,2,1,3,2,4,2,5,5
NYG,6,10,6,2,7,3,2,22,6,12,2,8,7,12,0,5,9,2,18,1,13
NYG,7,12,4,1,8,6,11,4,20,15,6,7,7,11,7,4,13,17,3,5,4
NYG,8,6,14,4,13,9,5,3,5,12,8,6,10,20,10,1,10,10,0,2,8
NYG,9,6,8,9,3,2,8,8,3,4,6,4,4,14,16,8,12,5,4,4,4
NYG,10,6,9,6,0,2,4,2,15,13,4,9,7,2,12,3,7,8,7,15,2
NYG,11,5,1,7,14,3,7,6,4,5,3,8,2,9,6,4,2,19,14,3,6
NYG,12,13,2,3,4,1,18,5,6,8,4,16,4,2,7,7,5,6,3,17,0
NYG,13,6,5,16,2,12,8,8,5,10,5,6,9,9,4,19,3,9,0,17,5
NYG,14,4,13,15,3,7,7,6,2,4,19,11,5,1,5,7,7,5,1,1,7
NYG,15,11,8,8,3,7,9,1,23,0,1,3,13,0,14,8,3,4,6,3,3
NYG,16,12,3,3,19,7,3,5,1,4,0,10,12,3,11,5,5,16,9,6,1
NYJ,1,5,7,12,8,11,3,8,0,6,6,8,18,14,7,2,9,9,4,16,17
NYJ,2,10,9,4,3,9,4,7,0,4,2,7,12,3,1,6,10,2,0,8,5
NYJ,3,16,4,1,6,18,14,15,5,8,10,6,1,10,8,6,3,2,7,4,17
NYJ,4,10,24,2,4,6,4,8,6,27,2,7,14,2,2,4,7,2,3,8,1
NYJ,5,1,10,3,15,7,5,1,10,7,0,16,6,2,4,5,5,3,7,6,1
NYJ,6,25,8,8,2,5,5,6,5,1,5,5,16,12,4,2,3,0,4,14,2
NYJ,7,8,11,2,9,10,11,5,3,4,11,2,5,3,12,1,0,5,7,1,4
NYJ,8,3,14,10,1,0,5,11,3,17,8,2,6,4,3,4,11,5,5,2,6
NYJ,9,3,11,7,2,7,4,8,3,18,4,7,0,14,6,1,4,1,13,4,8
NYJ,10,2,25,2,1,1,4,1,11,5,6,3,3,7,1,8,3,3,3,1,8
NYJ,11,11,3,8,5,9,1,6,5,3,17,11,3,2,6,1,7,0,3,0,11
NYJ,12,6,1,4,5,6,2,8,13,2,7,3,8,4,3,4,5,1,2,15,1
NYJ,13,7,6,4,6,8,16,5,2,6,9,11,9,7,12,9,7,2,2,13,4
NYJ,14,4,6,4,0,12,3,5,13,17,0,5,11,6,2,1,10,5,6,6,9
NYJ,15,7,1,6,2,1,11,3,7,4,14,10,4,4,7,6,4,1,0,4,8
NYJ,16,8,9,3,4,15,22,8,3,3,9,21,5,2,6,9,4,9,2,1,7
OAK,1,12,7,3,5,3,4,0,6,0,7,6,10,1,4,6,2,3,1,1,3
OAK,2,8,11,10,12,9,5,4,16,9,10,5,5,1,5,2,4,3,6,3,4
OAK,3,6,19,28,6,10,5,14,7,9,2,8,6,5,5,2,9,7,5,1,0
OAK,4,13,5,17,2,2,8,2,6,10,8,0,1,2,5,6,11,4,4,16,10
OAK,5,8,11,5,8,3,2,4,8,1,0,27,7,7,20,1,6,10,0,1,8
OAK,6,2,6,2,4,2,5,9,4,9,6,2,4,5,5,3,5,1,3,3,1
OAK,7,8,10,7,4,1,16,25,2,2,0,18,4,11,9,1,5,5,1,0,3
OAK,8,9,1,2,4,3,5,3,4,7,3,10,1,5,1,3,5,2,0,0,6
OAK,9,10,4,12,6,4,4,8,5,10,8,7,10,2,13,4,6,6,3,3,17
OAK,10,3,3,6,21,4,8,2,11,7,9,4,15,0,6,2,4,4,1,5,9
OAK,11,5,3,8,1,10,9,3,5,4,2,5,10,2,4,2,8,14,7,5,1
OAK,12,10,5,7,7,2,3,15,9,3,3,8,1,7,2,1,8,8,11,4,1
OAK,13,13,10,8,4,1,2,8,2,6,3,4,10,5,3,9,11,7,6,3,2
OAK,14,19,7,7,7,7,6,4,5,11,3,6,10,6,4,3,8,7,6,3,2
OAK,15,9,4,12,1,10,4,4,4,5,4,6,8,4,7,6,5,6,6,5,1
OAK,16,22,9,3,9,5,2,1,3,5,4,17,2,4,5,9,11,2,5,2,4
PHI,1,14,8,7,2,7,10,5,8,4,25,7,13,10,11,13,5,5,16,6,1
PHI,2,1,9,10,2,8,9,10,3,10,4,6,8,6,5,4,7,9,4,6,7
PHI,3,13,18,11,4,6,1,13,15,15,5,9,3,3,5,2,9,10,4,2,2
PHI,4,13,3,13,12,6,15,6,3,12,11,3,7,2,1,14,3,5,4,5,5
PHI,5,4,5,1,3,16,8,23,5,1,6,18,3,0,9,24,13,8,4,3,28
PHI,6,7,1,10,7,9,17,4,1,15,20,7,10,2,4,10,15,12,10,6,5
PHI,7,7,7,1,8,6,1,2,4,8,8,9,6,4,6,2,7,4,6,2,5
PHI,8,5,14,5,5,6,4,3,2,4,6,7,10,6,3,6,12,5,16,6,8
PHI,9,3,23,2,7,13,4,8,5,5,2,14,16,3,7,25,4,4,7,4,3
PHI,10,7,2,6,5,3,5,5,0,10,5,10,7,2,5,5,1,3,18,0,1
PHI,11,5,8,4,10,10,9,2,5,9,5,4,1,2,8,11,2,0,6,4,10
PHI,12,16,16,23,4,9,0,4,6,8,14,8,3,2,11,10,22,4,2,5,5
PHI,13,3,6,12,7,5,7,12,6,2,17,5,17,2,8,4,5,10,12,9,2
PHI,14,5,2,12,6,7,2,15,9,12,11,6,18,10,5,5,2,7,9,7,8
PHI,15,10,4,17,4,4,4,9,3,3,7,4,3,3,17,6,2,12,17,6,4
PHI,16,8,7,9,9,0,3,7,0,26,4,4,5,1,6,7,10,9,1,6,6
PIT,1,1,1,4,6,9,11,13,16,11,7,18,1,4,1,3,2,4,17,11,1
PIT,2,2,14,11,11,2,10,3,4,6,2,14,5,4,0,0,7,5,4,5,8
PIT,3,7,4,7,8,10,9,12,16,9,2,5,9,3,4,13,4,0,6,17,11
PIT,4,10,12,2,1,13,5,6,6,13,5,12,0,7,1,3,9,8,10,4,12
PIT,5,11,12,13,9,4,5,17,7,3,9,5,5,5,7,11,12,3,4,16,11
PIT,6,12,11,8,8,7,6,5,6,9,10,6,5,2,1,3,7,2,3,3,13
PIT,7,9,5,11,4,18,8,8,2,0,20,10,4,1,8,7,2,2,8,4,12
PIT,8,9,7,10,5,6,15,3,14,13,14,0,3,4,5,12,9,5,4,2,17
PIT,9,3,11,9,7,18,6,9,2,2,2,12,5,4,5,8,6,4,5,13,20
PIT,10,11,12,2,0,13,9,9,5,8,7,6,4,2,8,4,11,18,15,8,1
PIT,11,7,6,3,13,7,4,0,8,3,9,6,9,12,19,8,4,7,4,2,8
PIT,12,16,0,3,1,1,1,13,1,15,4,23,7,7,2,1,11,6,2,4,9
PIT,13,4,4,6,12,6,3,4,0,19,1,1,7,1,10,9,15,7,3,5,10
PIT,14,1,18,14,2,2,12,11,2,8,1,8,0,3,3,8,6,3,4,3,5
PIT,15,16,8,18,14,2,10,6,13,1,10,10,3,12,13,8,1,4,11,6,4
PIT,16,10,10,11,6,15,5,0,4,13,9,11,4,12,7,9,15,10,10,4,7
SEA,1,2,5,6,10,8,3,5,9,3,5,12,0,5,5,7,14,6,6,7,8
SEA,2,9,7,4,20,11,3,9,4,16,4,1,2,13,13,1,4,3,4,6,3
SEA,3,2,3,3,12,11,7,9,12,5,6,14,7,8,9,5,2,2,0,11,2
SEA,4,12,7,16,1,8,6,1,12,1,2,6,0,4,18,1,0,10,19,3,12
SEA,5,2,17,2,6,5,6,10,3,4,15,10,21,8,6,13,14,8,10,4,4
SEA,6,4,6,11,7,13,5,4,2,3,6,12,10,5,6,0,7,8,3,10,10
SEA,7,3,3,4,2,2,9,11,17,15,4,2,5,4,11,7,6,10,17,6,1
SEA,8,3,4,3,4,11,12,9,2,3,18,2,2,4,7,11,1,7,10,2,8
SEA,9,7,6,10,4,5,7,6,7,10,0,9,5,8,3,5,15,6,8,2,4
SEA,10,7,3,3,9,18,4,5,7,6,4,4,13,9,4,4,2,6,1,5,17
SEA,11,7,7,4,10,7,4,11,14,6,14,12,9,3,16,7,10,4,5,2,13
SEA,12,23,6,5,10,7,34,19,9,2,5,11,16,0,9,10,6,4,5,15,4
SEA,13,18,12,2,1,5,7,2,21,5,6,2,7,31,4,7,5,1,2,12,14
SEA,14,3,11,16,5,0,0,2,0,11,2,3,26,15,14,6,5,6,4,5,7
SEA,15,6,8,12,10,8,6,1,14,8,1,4,4,13,10,6,0,3,16,7,4
SEA,16,2,5,5,5,5,8,5,2,5,4,5,6,2,12,14,8,9,3,10,2
SF,1,2,2,9,23,6,9,5,5,3,7,3,11,5,6,17,7,6,4,7,23
SF,2,4,7,6,11,7,4,8,10,15,3,2,5,4,8,3,0,9,3,4,6
SF,3,5,4,9,5,1,14,5,4,8,12,2,5,4,1,2,5,6,0,2,6
SF,4,9,7,11,2,0,18,0,6,4,31,15,8,19,9,9,5,2,8,9,10
SF,5,2,4,5,4,4,7,19,0,9,4,6,15,5,15,2,2,3,6,1,6
SF,6,5,18,5,6,0,1,0,5,10,4,6,7,2,11,13,6,7,5,3,5
SF,7,2,3,11,10,17,13,1,2,8,3,13,8,4,5,2,9,4,0,2,13
SF,8,3,3,3,3,3,0,9,3,1,1,8,8,6,8,5,2,1,5,9,3
SF,9,4,0,3,11,5,4,11,5,6,10,3,5,4,7,8,2,10,4,7,19
SF,10,4,17,4,6,6,1,12,8,10,2,2,12,12,5,12,4,1,5,1,14
SF,11,5,10,1,7,11,8,4,18,3,10,5,0,21,8,7,1,2,2,1,7
SF,12,12,8,12,5,7,8,1,6,5,7,4,8,2,5,3,9,3,2,3,3
SF,13,18,16,4,9,5,3,1,2,7,20,17,8,4,6,1,8,8,5,2,2
SF,14,5,5,1,2,5,2,7,0,1,4,1,11,11,6,7,6,3,3,3,2
SF,15,4,3,9,9,3,5,2,8,5,14,3,8,3,11,14,2,8,13,7,8
SF,16,4,13,7,7,7,10,15,5,3,8,16,9,6,5,8,2,2,7,0,1
TB,1,8,8,4,7,8,12,1,4,9,1,6,8,9,9,1,4,3,15,11,11
TB,2,19,5,13,5,9,4,11,6,10,6,10,4,14,16,4,12,1,0,7,5
TB,3,15,13,19,12,5,10,9,7,13,0,4,10,10,5,15,3,11,0,5,9
TB,4,13,4,13,9,0,4,0,7,17,13,12,6,1,7,7,4,4,7,1,16
TB,5,7,8,18,18,10,8,2,4,0,3,2,2,10,3,12,16,6,12,1,2
TB,6,18,6,4,9,8,14,21,9,14,15,3,8,2,2,4,9,10,3,7,4
TB,7,11,7,14,10,8,0,2,3,6,5,29,8,9,3,1,9,4,2,2,5
TB,8,14,11,9,3,8,1,0,1,3,26,0,2,8,4,8,4,4,5,2,5
TB,9,14,7,9,12,7,8,4,4,3,6,4,3,20,6,1,5,18,10,3,6
TB,10,3,15,12,2,15,13,3,19,7,0,10,4,4,17,18,17,4,17,3,1
TB,11,3,9,11,11,8,4,1,16,16,10,6,15,5,20,5,3,12,2,8,16
TB,12,10,5,8,2,15,10,3,5,7,3,4,2,2,4,8,5,12,4,12,19
TB,13,16,7,3,14,8,4,4,7,5,3,4,5,8,17,4,2,7,6,5,3
TB,14,17,17,3,5,9,1,6,15,9,11,0,10,1,2,5,2,5,3,6,14
TB,15,8,11,4,2,1,8,19,8,1,3,3,1,4,5,3,3,2,6,1,9
TB,16,9,5,9,2,2,16,3,5,3,7,9,10,4,1,8,8,15,10,3,16
TEN,1,5,10,12,4,15,0,6,4,13,10,8,4,1,9,9,14,0,2,5,19
TEN,2,3,7,1,1,3,18,0,6,15,0,6,9,6,12,6,2,6,8,6,6
TEN,3,5,9,15,7,4,18,8,17,15,6,8,5,9,6,2,7,3,1,5,0
TEN,4,9,3,4,15,1,0,2,12,12,4,8,12,2,19,2,6,5,4,6,7
TEN,5,7,16,1,3,10,9,4,0,4,4,12,5,5,6,3,6,10,5,3,8
TEN,6,9,3,7,13,6,3,6,16,3,2,10,0,5,12,12,4,6,2,2,3
TEN,7,19,7,2,18,3,6,28,9,4,10,15,14,5,2,7,3,2,8,2,3
TEN,8,15,7,15,8,8,10,2,11,8,18,5,1,6,6,5,10,4,6,9,11
TEN,9,8,7,10,20,11,4,9,3,6,18,3,9,5,7,1,5,1,5,3,7
TEN,10,13,1,7,5,6,10,10,3,6,4,5,2,16,1,7,8,11,3,0,12
TEN,11,6,8,8,4,9,10,4,3,6,1,2,12,9,4,6,5,4,10,4,3
TEN,12,7,2,1,6,7,4,4,6,16,0,3,5,0,7,10,10,4,6,4,19
TEN,13,5,8,6,2,5,14,2,11,3,17,1,2,14,0,8,1,7,8,6,10
TEN,14,4,4,11,5,4,3,30,6,5,9,6,2,14,2,3,4,3,3,7,5
TEN,15,4,5,12,13,4,7,9,12,19,3,5,3,1,6,4,3,3,8,12,3
TEN,16,26,7,9,10,12,5,10,4,1,5,3,5,25,9,1,3,12,8,11,6
WAS,1,8,11,3,1,8,8,1,4,4,5,9,14,6,13,2,5,3,12,6,1
WAS,2,6,3,2,9,6,0,3,3,8,3,7,7,14,4,12,1,6,6,5,3
WAS,3,5,1,4,1,1,1,5,8,6,2,7,5,12,9,2,0,8,10,6,5
WAS,4,8,9,12,9,5,2,8,18,2,7,5,8,3,19,3,9,7,4,4,8
WAS,5,10,3,10,7,8,1,0,6,0,7,8,6,11,3,3,9,3,5,5,6
WAS,6,8,15,3,0,6,7,3,15,4,5,9,4,15,10,1,8,5,7,14,9
WAS,7,5,5,9,5,9,4,0,3,1,3,22,6,5,16,3,3,3,4,11,4
WAS,8,14,12,8,9,12,6,8,7,1,5,5,4,1,5,9,4,9,6,4,5
WAS,9,1,7,3,7,6,2,1,6,7,7,1,6,2,3,2,12,5,4,10,2
WAS,10,5,0,6,8,8,9,4,3,4,5,5,4,10,3,2,2,6,4,9,4
WAS,11,14,4,7,6,4,9,5,3,6,4,2,4,8,4,8,9,1,6,4,14
WAS,12,8,3,6,0,3,7,3,2,4,3,2,2,1,5,7,7,2,1,2,11
WAS,13,6,10,1,12,6,10,2,8,4,10,5,3,6,2,4,5,8,10,4,6
WAS,14,3,0,4,5,15,15,4,4,2,2,2,9,6,7,3,5,2,8,10,4
WAS,15,3,12,9,6,9,5,5,9,4,3,8,2,9,6,7,15,13,10,3,3
WAS,16,11,4,19,0,4,20,1,4,3,5,2,8,8,7,2,10,1,6,5,5
