week,arima,average
1.0,34.250995405819296,36.56796324655436
2.0,32.74765696784074,51.02098009188361
3.0,29.50655436447167,38.27163859111792
4.0,27.65506891271057,33.01410923940786
5.0,25.493353751914242,29.417251148545176
6.0,23.166094946401227,27.212735068912707
7.0,22.006217457886677,24.3076875957121
8.0,20.564655436447165,21.690702253336248
9.0,18.12168453292496,19.551278713629404
10.0,16.261960183767226,17.194211332312403
11.0,14.23384379785605,14.797647779479325
12.0,12.499846860643185,12.713105944591394
13.0,11.000673813169985,10.928328228688107
14.0,8.950352220520674,8.922127459064672
15.0,6.983032159264932,7.110420039378692
16.0,5.124777947932619,5.354164369576315
17.0,2.9740581929555896,3.2140543644716693
