week,avg-total,avg-pct,nn-total,nn-pct,nb-correct
1.0,350701.0,0.8237135824274937,361235.0,0.8484554533582616,10534.0
2.0,341356.0,0.8017643908717669,363323.0,0.8533596707973581,21967.0
3.0,350501.0,0.8232438297992277,364020.0,0.854996758706865,13519.0
4.0,355994.0,0.8361455857345522,364666.0,0.856514059696164,8672.0
5.0,357082.0,0.8387010400323189,364327.0,0.8557178289912533,7245.0
6.0,357546.0,0.839790866129896,363324.0,0.8533620195604994,5778.0
7.0,360267.0,0.8461818506374543,362817.0,0.8521711966478452,2550.0
8.0,360363.0,0.846407331899022,362570.0,0.8515910521519368,2207.0
9.0,360401.0,0.8464965848983925,362635.0,0.8517437217561232,2234.0
10.0,360028.0,0.8456204962466765,362008.0,0.8502710472665095,1980.0
11.0,359741.0,0.8449464012251149,363232.0,0.8531459333514971,3491.0
12.0,358688.0,0.8424731536372946,363874.0,0.8546538392882308,5186.0
13.0,357439.0,0.8395395484737737,363575.0,0.8539515591089732,6136.0
14.0,356793.0,0.8380222474844746,366629.0,0.8611246817425944,9836.0
15.0,352646.0,0.8282819267373801,366844.0,0.8616296658179803,14198.0
16.0,347005.0,0.8150325538571388,367915.0,0.8641451911423444,20910.0
17.0,333462.0,0.7832232546341097,372421.0,0.8747287178571764,38959.0
