player,first,last,name,position1,2000-game1,2000-game2,2000-game3,2000-game4,2000-game5,2000-game6,2000-game7,2000-game8,2000-game9,2000-game10,2000-game11,2000-game12,2000-game13,2000-game14,2000-game15,2000-game16,2001-game1,2001-game2,2001-game3,2001-game4,2001-game5,2001-game6,2001-game7,2001-game8,2001-game9,2001-game10,2001-game11,2001-game12,2001-game13,2001-game14,2001-game15,2001-game16,2002-game1,2002-game2,2002-game3,2002-game4,2002-game5,2002-game6,2002-game7,2002-game8,2002-game9,2002-game10,2002-game11,2002-game12,2002-game13,2002-game14,2002-game15,2002-game16,2003-game1,2003-game2,2003-game3,2003-game4,2003-game5,2003-game6,2003-game7,2003-game8,2003-game9,2003-game10,2003-game11,2003-game12,2003-game13,2003-game14,2003-game15,2003-game16,2004-game1,2004-game2,2004-game3,2004-game4,2004-game5,2004-game6,2004-game7,2004-game8,2004-game9,2004-game10,2004-game11,2004-game12,2004-game13,2004-game14,2004-game15,2004-game16,2005-game1,2005-game2,2005-game3,2005-game4,2005-game5,2005-game6,2005-game7,2005-game8,2005-game9,2005-game10,2005-game11,2005-game12,2005-game13,2005-game14,2005-game15,2005-game16,2006-game1,2006-game2,2006-game3,2006-game4,2006-game5,2006-game6,2006-game7,2006-game8,2006-game9,2006-game10,2006-game11,2006-game12,2006-game13,2006-game14,2006-game15,2006-game16,2007-game1,2007-game2,2007-game3,2007-game4,2007-game5,2007-game6,2007-game7,2007-game8,2007-game9,2007-game10,2007-game11,2007-game12,2007-game13,2007-game14,2007-game15,2007-game16,2008-game1,2008-game2,2008-game3,2008-game4,2008-game5,2008-game6,2008-game7,2008-game8,2008-game9,2008-game10,2008-game11,2008-game12,2008-game13,2008-game14,2008-game15,2008-game16,2009-game1,2009-game2,2009-game3,2009-game4,2009-game5,2009-game6,2009-game7,2009-game8,2009-game9,2009-game10,2009-game11,2009-game12,2009-game13,2009-game14,2009-game15,2009-game16,2010-game1,2010-game2,2010-game3,2010-game4,2010-game5,2010-game6,2010-game7,2010-game8,2010-game9,2010-game10,2010-game11,2010-game12,2010-game13,2010-game14,2010-game15,2010-game16,2011-game1,2011-game2,2011-game3,2011-game4,2011-game5,2011-game6,2011-game7,2011-game8,2011-game9,2011-game10,2011-game11,2011-game12,2011-game13,2011-game14,2011-game15,2011-game16,2012-game1,2012-game2,2012-game3,2012-game4,2012-game5,2012-game6,2012-game7,2012-game8,2012-game9,2012-game10,2012-game11,2012-game12,2012-game13,2012-game14,2012-game15,2012-game16,2013-game1,2013-game2,2013-game3,2013-game4,2013-game5,2013-game6,2013-game7,2013-game8,2013-game9,2013-game10,2013-game11,2013-game12,2013-game13,2013-game14,2013-game15,2013-game16,2014-game1,2014-game2,2014-game3,2014-game4,2014-game5,2014-game6,2014-game7,2014-game8,2014-game9,2014-game10,2014-game11,2014-game12,2014-game13,2014-game14,2014-game15,2014-game16,2015-game1,2015-game2,2015-game3,2015-game4,2015-game5,2015-game6,2015-game7,2015-game8,2015-game9,2015-game10,2015-game11,2015-game12,2015-game13,2015-game14,2015-game15,2015-game16,2016-game1,2016-game2,2016-game3,2016-game4,2016-game5,2016-game6,2016-game7,2016-game8,2016-game9,2016-game10,2016-game11,2016-game12,2016-game13,2016-game14,2016-game15,2016-game16,2017-game1,2017-game2,2017-game3,2017-game4,2017-game5,2017-game6,2017-game7,2017-game8,2017-game9,2017-game10,2017-game11,2017-game12,2017-game13,2017-game14,2017-game15,2017-game16,2018-game1,2018-game2,2018-game3,2018-game4,2018-game5,2018-game6,2018-game7,2018-game8,2018-game9,2018-game10,2018-game11,2018-game12,2018-game13,2018-game14,2018-game15,2018-game16,2019-game1,2019-game2,2019-game3,2019-game4,2019-game5,2019-game6,2019-game7,2019-game8,2019-game9,2019-game10,2019-game11,2019-game12,2019-game13,2019-game14,2019-game15,2019-game16
SF-0050,Sam,Ficken,Sam Ficken,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,13,12,4,9,6,11,0,13,8,0,0
NF-0300,Nick,Folk,Nick Folk,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,10,5,16,9,6,8,8,4,10,15,4,5,9,6,4,14,9,6,7,7,1,8,2,2,19,12,8,2,6,7,12,8,6,5,7,14,9,7,1,0,5,5,3,6,0,0,10,9,6,7,19,8,0,10,8,9,5,2,6,8,10,8,11,13,6,6,3,6,9,12,1,7,2,13,4,7,2,4,12,4,11,5,5,18,3,0,13,5,-1,6,2,6,10,0,12,4,10,9,13,6,13,13,16,2,2,3,16,10,6,7,9,8,15,5,5,15,6,4,8,2,9,17,4,10,12,0,7,8,7,9,10,12,9,0,0,0,0,0,0,0,0,0,10,13,3,5,8,3,5,7,11,0,7,3,11,8,3,11,14,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,4,12,12,6,7,0,0,0,0,0,0,0,0
KF-0250,Kai,Forbath,Kai Forbath,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,8,8,7,9,5,13,9,11,4,2,0,0,0,0,2,10,9,3,7,9,6,5,4,8,12,7,0,0,0,0,0,12,11,2,5,9,13,10,8,1,6,9,7,9,5,0,4,3,12,4,2,8,4,6,9,0,0,0,0,0,0,0,6,7,10,16,8,7,8,0,0,0,0,0,0,0,0,0,12,10,1,7,13,24,16,10,6,6,0,9,12,10,3,14,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,11,20,0,0,0,0,0,0,0,0,0,0,0,0
MG-0306,Matt,Gay,Matt Gay,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,15,15,7,6,10,12,13,7,5,8,9,9,10,1
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,0,0,6,12,3,6,1,10,3,3,5,4,8,2,4,10,3,2,3,14,0,0,0,0,0,0,0,0,0,14,9,9,2,13,10,10,11,5,11,9,1,5,8,10,5
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,7,8,4,8,9,5,5,7,8,16,7,10,13,8,7,8,10,10,13,7,10,6,8,7,8,11,7,4,13,5,13,8,14,5,11,12,9,8,12,12,4,12,7,17,7,6,10,14,9,6,10,5,14,10,7,4,2,10,5,5,12,6,1,9,11,11,12,4,1,0,0,0,0,0,0,0,0,7,10,7,8,13,8,6,8,14,10,9,6,10,11,11,11,10,16,13,8,7,11,11,9,15,11,6,11,5,11,12,4,12,6,14,14,7,14,10,10,13,9,10,14,8,8,11,15,10,14,10,2,21,16,9,15,15,6,11,3,10,11,5,10,4,19,17,15,11,13,12,9,11,8,6,4,11,17,8,0,14,6,9,-1,6,10,3,13,6,6,11,16,4,12,11,10,9,12,4,15,15,5,11,12,11,20,5,13,9,8,14,6,9,8,4,8,9,22,8,13,7,5,9,6,8,3,6,8,16,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0
RG-1500,Robbie,Gould,Robbie Gould,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,7,7,5,6,7,13,2,10,7,3,3,0,0,15,11,15,14,19,6,12,7,9,4,8,2,6,8,14,1,3,9,4,10,10,7,14,0,5,12,14,12,10,7,8,7,10,5,11,7,11,8,12,10,2,2,10,2,11,9,8,6,8,6,4,14,2,4,12,3,7,14,3,5,2,1,14,13,7,10,7,4,14,7,2,2,8,12,7,8,1,16,8,2,13,8,5,10,9,15,5,14,16,7,12,3,5,2,7,4,11,5,13,11,11,7,5,15,8,0,10,5,2,0,0,0,8,7,11,10,4,12,12,9,7,12,3,9,11,8,5,4,9,4,10,5,6,7,2,1,2,3,2,4,0,0,0,0,14,14,13,7,14,10,2,12,8,5,11,3,5,0,0,0,5,4,3,5,3,2,4,6,14,8,8,0,0,0,0,0,4,18,13,8,5,5,5,7,8,15,17,24,8,11,0,0,11,14,7,9,-1,15,6,7,10,13,3,5,9,15,9,6,11,10,6,8,5,8,8,4,5,13,12,10,8,9,16,9
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,3,2,6,13,1,4,0,0,0,0,0,0,0,7,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,12,3,7,8,16,5,5,8,13,8,4,9,0,10,9,2,7,11,6,7,5,7,4,3,5,16,14,6,10,7,9,9,13,16,8,13,2,9,19,13,10,5,13,4,8,10,3,7,11,12,8,9,13,7,8,16,13,7,5,5,7,11,7,16,11,6,14,10,6,9,5,3,8,5,13,0,0,6,3,13,11,10,6,8,8,14,8,3,16,4,7,5,12,2,4,19,15,10,14,10,3,4,8,13,3,1,6,11,10,2,10,11,9,9,3,9,4,13,6,3,11,1,5,6,0,6,4,7,4,2,13,1,6,2,13,8,9,10,5,5,6
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,9,9,7,4,18,2,9,12,6,4,6,0,0,11,11,19,8,3,11,4,8,16,6,8,12,3,9,11,4,5,9,8,9,9,8,9,5,0,0,0,0,0,0,0,0,6,10,7,9,14,8,10,1,12,3,4,9,11,14,0,0,11,3,2,3,1,4,-1,10,9,4,13,12,4,12,5,11
GJ-1200,Greg,Joseph,Greg Joseph,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,6,2,7,5,3,5,1,10,6,8,6,0,0,4,5,2,4,6,0,0,0,0,0,0,0,0,0,0,0
