player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
MM-0912,Marcus,Mariota,Marcus Mariota,QB,24.96,16.18,18.68,10.18,4.76,0,0,33.34,7.800000000000001,18.14,19.42,37.92,23.36,-0.72,0,0
SM-0425,Sean,Mannion,Sean Mannion,QB,0,0,0,0,0,0,0,0,0,0,1.24,0.0,0,0,0,0
TS-1450,Trevor,Siemian,Trevor Siemian,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.1,0,0
BA-0375,Brandon,Allen,Brandon Allen,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CW-1425,Carson,Wentz,Carson Wentz,QB,19.22,12.6,21.04,16.92,7.36,6.119999999999999,11.780000000000001,10.16,8.24,14.920000000000002,17.46,12.620000000000001,13.060000000000002,11.6,10.780000000000001,19.1
DP-2037,Dak,Prescott,Dak Prescott,QB,10.28,18.28,23.52,18.1,17.48,18.48,27.28,23.880000000000003,18.759999999999998,25.64,21.7,11.26,6.699999999999999,19.16,23.98,2.38
JB-5725,Jacoby,Brissett,Jacoby Brissett,QB,0,4.88,14.920000000000002,8.5,0,0,0,0,0,0,0,0.0,0,0,0,0
JD-2850,Jeff,Driskel,Jeff Driskel,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
JG-1850,Jared,Goff,Jared Goff,QB,0,0,0,0,0,0,0,0,0,6.460000000000001,16.560000000000002,6.34,9.600000000000001,5.4,4.0,4.8
DW-1725,Deshaun,Watson,Deshaun Watson,QB,5.68,19.7,20.14,33.72,35.54,23.3,32.78,0,0,0,0,0.0,0,0,0,0
MT-1800,Mitchell,Trubisky,Mitchell Trubisky,QB,0,0,0,0,9.32,9.719999999999999,4.58,9.86,15.88,14.46,3.08,9.98,21.34,10.86,18.12,7.32
NM-0687,Nick,Mullens,Nick Mullens,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
PM-0025,Patrick,Mahomes,Patrick Mahomes,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10.36
TH-1625,Taysom,Hill,Taysom Hill,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BM-0650,Baker,Mayfield,Baker Mayfield,QB,0,0,9.84,12.8,17.98,12.32,20.9,14.100000000000001,17.880000000000003,22.64,25.92,13.880000000000003,13.719999999999999,12.119999999999997,24.96,21.04
JA-1087,Josh,Allen,Josh Allen,QB,5.5600000000000005,13.0,27.74,1.9399999999999995,9.18,5.359999999999999,0,0,0,0,26.299999999999997,28.740000000000002,18.340000000000003,19.759999999999998,11.68,40.46
JR-3250,Josh,Rosen,Josh Rosen,QB,0,0,0.6399999999999997,12.5,10.5,7.6,3.16,19.28,8.22,13.440000000000001,6.1,9.16,7.9,0.08000000000000007,8.38,5.960000000000001
KA-0737,Kyle,Allen,Kyle Allen,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.52,25.02
LF-0025,Luke,Falk,Luke Falk,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
LJ-0150,Lamar,Jackson,Lamar Jackson,QB,4.859999999999999,0.6,0.0,1.7,1.0,2.2,7.1000000000000005,8.44,1.48,15.899999999999999,20.220000000000002,16.5,18.58,16.740000000000002,16.060000000000002,26.16
MR-2350,Mason,Rudolph,Mason Rudolph,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
